length_x,length_y,cmd_raw_x,cmd_raw_y
-14,20,-1.70056033333223,2.30006707613009
-15,21,-1.79143966666645,2.39138641522602
-15,21,-1.80056033333329,2.4005496830452
-15,21,-1.80006666666666,2.40006453660904
-16,22,-1.89138633333333,2.49138590732181
-16,22,-1.90054966666667,2.50054958146436
-17,22,-1.99143753333333,2.50006451629287
-17,22,-2.00055990666667,2.50001290325857
-18,21,-2.09143958133333,2.40862958065172
-18,21,-2.10056031626667,2.39945351613034
-19,21,-2.19143966325334,2.39993610322607
-19,21,-2.20056033265067,2.39998722064521
-20,21,-2.29143966653013,2.39999744412904
-20,21,-2.30056033330603,2.39999948882581
-21,21,-2.3914396666612,2.39999989776516
-21,20,-2.40056033333224,2.30862697955303
-21,20,-2.40006666666645,2.29945299591061
-22,20,-2.49138633333329,2.29993599918212
-22,20,-2.50054966666666,2.29998719983642
-22,19,-2.50006453333333,2.20862443996729
-22,19,-2.50001290666667,2.19945248799346
-22,18,-2.50000258133333,2.10856289759869
-22,18,-2.50000051626667,2.09944017951974
-22,17,-2.50000010325333,2.00856043590395
-23,17,-2.59137302065067,1.99943968718079
-23,17,-2.6005263677665,1.99993333743616
-22,16,-2.50869100082603,1.90861366748723
-22,15,-2.49946580016521,1.80807733349745
-22,15,-2.49993856003304,1.79938846669949
-22,14,-2.49998771200661,1.7085500933399
-22,14,-2.49999754240132,1.69943761866798
-22,13,-2.49999950848026,1.6085599237336
-22,12,-2.49999990169605,1.50806658474672
-22,12,-2.49999998033921,1.49938631694934
-21,11,-2.40862699606784,1.40854966338987
-21,10,-2.39945299921357,1.30806453267797
-21,9,-2.39993599984271,1.2080129065356
-21,8,-2.39998719996854,1.10800258130712
-21,7,-2.39999743999371,1.00800051626142
-21,6,-2.39999948799874,0.908000103252283
-20,5,-2.30862689759975,0.808000020650458
-20,4,-2.29945297951995,0.708000004130092
-20,4,-2.29993599590399,0.699373000826018
-20,3,-2.2999871991808,0.608547000165204
-19,2,-2.20862443983616,0.508064000033039
-19,-0,-2.19945248796723,0.316639800006609
-18,-1,-2.10856289759345,-0.392544439998678
-18,-2,-2.09944017951869,-0.492063487999735
-18,-3,-2.09993343590374,-0.592012697599947
-17,-4,-2.00861368718075,-0.692002539519991
-17,-5,-1.99945033743615,-0.792000507903997
-16,-7,-1.90856246748723,-0.983373101580799
-16,-8,-1.89944009349745,-1.09254702031616
-16,-9,-1.89993341869949,-1.19206400406323
-15,-11,-1.8086136837399,-1.38338580081265
-15,-12,-1.79945033674798,-1.49254956016253
-14,-13,-1.7085624673496,-1.59206451203251
-14,-14,-1.69944009346992,-1.6920129024065
-13,-15,-1.60856041869398,-1.7920025804813
-13,-17,-1.5994396837388,-1.98337351609626
-12,-18,-1.50856033674776,-2.09254710321925
-12,-20,-1.49943966734955,-2.28343702064385
-11,-21,-1.40856033346991,-2.39255980412877
-10,-23,-1.30806666669398,-2.58343956082575
-10,-24,-1.2993863333388,-2.69256031216515
-9,-26,-1.20854966666776,-5.18189966421116
-9,-27,-1.19943753333355,-5.39158033284223
-8,-29,-1.10855990666671,-5.78189966656845
-8,-30,-1.09943958133334,-5.99158033331369
-7,-32,-1.00856031626667,-6.38189966666274
-7,-33,-0.999439663253334,-6.59158033333255
-6,-35,-0.908560332650667,-6.98189966666651
-6,-36,-0.899460302893769,-7.19240318457297
-5,-38,-0.808560333306027,-7.58186215757575
-4,-39,-0.708066666661206,-7.79157695878788
-3,-41,-0.608013333332241,-8.18189899175757
-3,-42,-0.599375666666448,-8.39158019835152
-2,-43,-0.508547533333288,-8.5911986396703
